Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms),Status200,Status503,SuccessCount,ErrorCount,ErrorRate
1,28.57870038,503 Service Unavailable,14.569,78.636,81.112,324,276,324,276,46
2,28.11367132,503 Service Unavailable,11.922,43.436,48.197,323,277,323,277,46.16666667
3,29.60523113,503 Service Unavailable,12.121,52.077,53.766,316,284,316,284,47.33333333
4,27.99516825,503 Service Unavailable,13.427,61.989,64.054,337,263,337,263,43.83333333
5,29.94751496,503 Service Unavailable,8.609,11.125,15.268,307,293,307,293,48.83333333
6,29.68321599,503 Service Unavailable,13.55,74.227,76.791,317,283,317,283,47.16666667
7,29.6596616,503 Service Unavailable,14.371,97.477,99.56,312,288,312,288,48
8,29.89126437,503 Service Unavailable,13.223,66.078,68.345,310,290,310,290,48.33333333
9,29.84327009,503 Service Unavailable,9.31,15.797,21.055,315,285,315,285,47.5
10,29.65936431,503 Service Unavailable,13.694,97.953,100.243,314,286,314,286,47.66666667
11,29.72032594,503 Service Unavailable,11.502,37.883,41.169,312,288,312,288,48
12,29.71169891,503 Service Unavailable,11.129,45.849,47.695,316,284,316,284,47.33333333
13,29.74044264,503 Service Unavailable,9.793,17.429,21.655,312,288,312,288,48
14,29.82862422,503 Service Unavailable,10.614,29.195,32.079,312,288,312,288,48
15,29.57045274,503 Service Unavailable,13.356,86.14,89.391,312,288,312,288,48
16,29.71889728,503 Service Unavailable,10.913,38.926,41.911,311,289,311,289,48.16666667
17,29.71536615,503 Service Unavailable,11.883,42.794,44.616,314,286,314,286,47.66666667
18,29.64972987,503 Service Unavailable,8.719,11.298,15.918,312,288,312,288,48
19,29.59186091,503 Service Unavailable,14.269,66.081,67.855,316,284,316,284,47.33333333
20,29.58000078,503 Service Unavailable,14.637,77.151,79.778,311,289,311,289,48.16666667
21,29.57492029,503 Service Unavailable,14.55,82.698,84.718,316,284,316,284,47.33333333
22,29.78554988,503 Service Unavailable,15.087,72.65,75.596,310,290,310,290,48.33333333
23,28.75145733,503 Service Unavailable,9.313,11.234,17.29,323,277,323,277,46.16666667
24,29.70844919,503 Service Unavailable,11.882,49.219,51.297,308,292,308,292,48.66666667
25,29.71511211,503 Service Unavailable,11.537,42.777,44.957,314,286,314,286,47.66666667
26,29.77409975,503 Service Unavailable,14.59,83.749,85.477,312,288,312,288,48
27,29.63607637,503 Service Unavailable,9.968,21.995,23.516,315,285,315,285,47.5
28,29.566281,503 Service Unavailable,12.553,70.069,92.019,313,287,313,287,47.83333333
29,29.92827713,503 Service Unavailable,10.723,29.48,31.073,308,292,308,292,48.66666667
30,28.73657918,503 Service Unavailable,10.087,21.721,24.528,317,283,317,283,47.16666667
31,29.5741478,503 Service Unavailable,14.719,83.596,86.412,315,285,315,285,47.5
32,29.89251293,503 Service Unavailable,14.591,65.512,70.951,310,290,310,290,48.33333333
33,28.76501061,503 Service Unavailable,12.867,78.386,94.599,318,282,318,282,47
34,29.75263141,503 Service Unavailable,10.302,11.488,105.001,310,290,310,290,48.33333333
35,28.83929407,503 Service Unavailable,10.477,19.325,23.451,315,285,315,285,47.5
36,29.61066004,503 Service Unavailable,12.04,47.564,49.546,317,283,317,283,47.16666667
37,29.95754886,503 Service Unavailable,12.641,40.859,102.352,307,293,307,293,48.83333333
38,28.71499581,503 Service Unavailable,11.999,43.35,45.701,320,280,320,280,46.66666667
39,29.61544466,503 Service Unavailable,11.056,41.594,44.156,310,290,310,290,48.33333333
40,29.71338172,503 Service Unavailable,11.656,44.643,47.189,313,287,313,287,47.83333333
41,29.74936182,503 Service Unavailable,9.267,11.536,21.021,314,286,314,286,47.66666667
42,28.73718056,503 Service Unavailable,9.884,20.956,23.357,320,280,320,280,46.66666667
43,29.94948899,503 Service Unavailable,9.107,10.387,15.294,307,293,307,293,48.83333333
44,28.66888853,503 Service Unavailable,14.744,88.659,90.673,318,282,318,282,47
45,29.59110968,503 Service Unavailable,13.193,66.767,68.834,311,289,311,289,48.16666667
46,29.84121646,503 Service Unavailable,9.3,17.631,20.191,314,286,314,286,47.66666667
47,29.67555092,503 Service Unavailable,14.046,81.853,84.75,313,287,313,287,47.83333333
48,29.64132915,503 Service Unavailable,9.623,17.212,21.602,313,287,313,287,47.83333333
49,29.89436712,503 Service Unavailable,14.381,63.128,66.457,312,288,312,288,48
50,29.61243252,503 Service Unavailable,12.749,45.723,49.017,315,285,315,285,47.5
51,29.63742327,503 Service Unavailable,9.351,20.022,22.411,316,284,316,284,47.33333333
52,29.7601262,503 Service Unavailable,13.45,91.704,98.973,311,289,311,289,48.16666667
53,29.80562576,503 Service Unavailable,12.55,51.814,54.646,315,285,315,285,47.5
54,29.64775943,503 Service Unavailable,8.831,11.023,13.758,311,289,311,289,48.16666667
55,29.71833821,503 Service Unavailable,11.476,40.01,42.864,312,288,312,288,48
56,29.72107152,503 Service Unavailable,11.123,36.919,39.295,313,287,313,287,47.83333333
57,29.7882875,503 Service Unavailable,14.131,69.035,72.104,312,288,312,288,48
58,29.58206712,503 Service Unavailable,14.053,75.41,78.566,316,284,316,284,47.33333333
59,29.61081144,503 Service Unavailable,12.807,47.799,52.016,313,287,313,287,47.83333333
60,29.64134742,503 Service Unavailable,9.032,15.774,17.817,314,286,314,286,47.66666667
61,29.62080166,503 Service Unavailable,11.051,37.3,39.009,311,289,311,289,48.16666667
62,29.72176341,503 Service Unavailable,10.715,35.348,38.007,312,288,312,288,48
63,29.61883415,503 Service Unavailable,11.554,39.103,42.169,314,286,314,286,47.66666667
64,29.68636962,503 Service Unavailable,13.745,70.936,73.103,310,290,310,290,48.33333333
65,28.66003336,503 Service Unavailable,13.74,96.122,99.198,321,279,321,279,46.5
66,29.72556874,503 Service Unavailable,10.441,31.44,33.347,308,292,308,292,48.66666667
67,29.62202681,503 Service Unavailable,10.743,35.931,37.96,314,286,314,286,47.66666667
68,29.74842208,503 Service Unavailable,8.601,10.522,14.622,312,288,312,288,48
69,29.76496696,503 Service Unavailable,14.706,92.496,95.069,313,287,313,287,47.83333333
70,29.86260536,503 Service Unavailable,12.501,46.691,97.37,312,288,312,288,48
71,30.15910262,503 Service Unavailable,13.081,87.734,100.208,309,291,309,291,48.5
72,28.62090456,503 Service Unavailable,10.675,36.173,38.048,325,275,325,275,45.83333333
73,30.52428472,503 Service Unavailable,11.166,32.93,35.765,300,300,300,300,50
74,26.81593054,503 Service Unavailable,14.751,42.563,68.48,345,255,345,255,42.5
75,29.60474925,503 Service Unavailable,12.543,53.472,55.458,310,290,310,290,48.33333333
76,29.61666119,503 Service Unavailable,11.158,41.171,43.068,314,286,314,286,47.66666667
77,29.61404543,503 Service Unavailable,11.707,43.388,46.281,315,285,315,285,47.5
78,29.78888604,503 Service Unavailable,14.346,69.206,71.405,312,288,312,288,48
79,29.55700914,503 Service Unavailable,13.105,79.25,103.147,317,283,317,283,47.16666667
80,29.75130837,503 Service Unavailable,9.993,11.187,102.352,309,291,309,291,48.5
81,29.71071702,503 Service Unavailable,11.655,46.719,48.631,313,287,313,287,47.83333333
82,29.71300993,503 Service Unavailable,12.079,45.059,46.816,311,289,311,289,48.16666667
83,29.87330905,503 Service Unavailable,15.168,84.403,86.507,313,287,313,287,47.83333333
84,29.73724358,503 Service Unavailable,9.817,20.355,22.837,313,287,313,287,47.83333333
85,29.69013433,503 Service Unavailable,13.541,67.198,69.964,313,287,313,287,47.83333333
86,29.58654841,503 Service Unavailable,14.115,71.688,73.255,314,286,314,286,47.66666667
87,29.82494257,503 Service Unavailable,11.068,33.717,36.693,310,290,310,290,48.33333333
88,29.9176896,503 Service Unavailable,11.441,40.649,42.453,313,287,313,287,47.83333333
89,29.72822575,503 Service Unavailable,10.518,29.951,31.846,316,284,316,284,47.33333333
90,29.60992086,503 Service Unavailable,12.3,48.464,50.974,312,288,312,288,48
91,29.77669703,503 Service Unavailable,14.49,81.364,84.295,311,289,311,289,48.16666667
92,29.66293323,503 Service Unavailable,13.272,92.231,97.332,315,285,315,285,47.5
93,29.60817962,503 Service Unavailable,11.704,49.419,52.601,313,287,313,287,47.83333333
94,29.71980214,503 Service Unavailable,12.088,39.027,43.723,314,286,314,286,47.66666667
95,29.66838856,503 Service Unavailable,15.237,88.886,92.741,314,286,314,286,47.66666667
96,29.68093979,503 Service Unavailable,14.934,76.065,79.318,311,289,311,289,48.16666667
97,29.64193043,503 Service Unavailable,9.579,16.376,25.207,313,287,313,287,47.83333333
98,29.67860107,503 Service Unavailable,15.251,79.623,81.765,313,287,313,287,47.83333333
99,30.08007149,503 Service Unavailable,14.611,77.48,79.318,309,291,309,291,48.5
100,28.70066248,503 Service Unavailable,13.172,57.664,59.875,320,280,320,280,46.66666667

