Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms),Status200,Status503,SuccessCount,ErrorCount,CalculatedErrorRate
1,31.053004307,"503 Service Unavailable",16.427,73.251,110.243,1855,1745,1855,1745,0.484722
2,31.435780396,"503 Service Unavailable",17.419,76.546,107.922,1792,1808,1792,1808,0.502222
3,23.335315785,"503 Service Unavailable",21.202,79.637,196.700,2239,1361,2239,1361,0.378056
4,27.457320834,"503 Service Unavailable",16.765,73.678,107.840,2004,1596,2004,1596,0.443333
5,29.417222635,"503 Service Unavailable",15.509,70.591,96.280,1873,1727,1873,1727,0.479722
6,36.816707293,"503 Service Unavailable",17.834,74.312,152.934,1666,1934,1666,1934,0.537222
7,24.424658459,"503 Service Unavailable",17.284,73.547,104.808,2160,1440,2160,1440,0.400000
8,28.511303172,"503 Service Unavailable",16.136,72.333,100.549,1954,1646,1954,1646,0.457222
9,23.362427584,"503 Service Unavailable",15.817,66.921,97.303,2236,1364,2236,1364,0.378889
10,27.614686786,"503 Service Unavailable",17.384,77.368,116.417,2008,1592,2008,1592,0.442222
11,29.798570949,"503 Service Unavailable",17.742,76.853,127.249,1834,1766,1834,1766,0.490556
12,28.551793459,"503 Service Unavailable",17.581,75.770,119.803,1971,1629,1971,1629,0.452500
13,25.475884388,"503 Service Unavailable",17.516,81.234,138.481,2135,1465,2135,1465,0.406944
14,24.507320566,"503 Service Unavailable",17.414,78.379,107.280,2172,1428,2172,1428,0.396667
15,29.589645658,"503 Service Unavailable",16.757,72.177,112.206,1895,1705,1895,1705,0.473611
16,26.465536017,"503 Service Unavailable",18.348,77.199,150.862,2101,1499,2101,1499,0.416389
17,30.381444485,"503 Service Unavailable",16.282,72.599,113.295,1801,1799,1801,1799,0.499722
18,25.506571854,"503 Service Unavailable",17.348,76.901,105.914,2137,1463,2137,1463,0.406389
19,25.423051707,"503 Service Unavailable",17.463,76.509,124.546,2132,1468,2132,1468,0.407778
20,24.368209284,"503 Service Unavailable",18.055,76.484,121.976,2177,1423,2177,1423,0.395278
21,29.327860925,"503 Service Unavailable",15.669,67.097,103.071,1896,1704,1896,1704,0.473333
22,26.559236018,"503 Service Unavailable",16.466,69.194,105.449,2067,1533,2067,1533,0.425833
23,26.516024660,"503 Service Unavailable",17.226,76.190,111.952,2060,1540,2060,1540,0.427778
24,26.562742314,"503 Service Unavailable",16.586,75.277,115.818,2061,1539,2061,1539,0.427500
25,25.443971711,"503 Service Unavailable",15.854,68.262,99.845,2107,1493,2107,1493,0.414722
26,21.407109155,"503 Service Unavailable",16.992,71.676,103.927,2341,1259,2341,1259,0.349722
27,29.306002263,"503 Service Unavailable",17.142,75.034,105.651,1909,1691,1909,1691,0.469722
28,28.364185143,"503 Service Unavailable",16.858,76.863,112.136,1956,1644,1956,1644,0.456667
29,23.848261390,"503 Service Unavailable",17.064,76.301,124.122,2211,1389,2211,1389,0.385833
30,23.549344095,"503 Service Unavailable",17.108,75.787,101.014,2251,1349,2251,1349,0.374722
31,28.381086501,"503 Service Unavailable",17.051,77.034,133.515,1948,1652,1948,1652,0.458889
32,22.406685826,"503 Service Unavailable",16.996,74.974,106.227,2297,1303,2297,1303,0.361944
33,24.390015160,"503 Service Unavailable",16.378,71.546,106.096,2155,1445,2155,1445,0.401389
34,27.478437639,"503 Service Unavailable",16.160,70.610,99.477,2022,1578,2022,1578,0.438333
35,31.390124226,"503 Service Unavailable",17.011,75.271,126.138,1786,1814,1786,1814,0.503889
36,23.453346225,"503 Service Unavailable",15.679,71.271,103.521,2265,1335,2265,1335,0.370833
37,30.559772904,"503 Service Unavailable",16.436,71.888,111.061,1838,1762,1838,1762,0.489444
38,29.539348948,"503 Service Unavailable",16.027,70.644,104.593,1890,1710,1890,1710,0.475000
39,25.361883176,"503 Service Unavailable",17.031,77.927,117.368,2126,1474,2126,1474,0.409444
40,24.472155770,"503 Service Unavailable",17.770,78.755,125.643,2206,1394,2206,1394,0.387222
41,23.488459635,"503 Service Unavailable",16.929,73.338,107.143,2257,1343,2257,1343,0.373056
42,29.533023734,"503 Service Unavailable",16.629,75.387,110.169,1878,1722,1878,1722,0.478333
43,25.355693515,"503 Service Unavailable",17.831,77.156,126.213,2152,1448,2152,1448,0.402222
44,26.355473945,"503 Service Unavailable",16.446,71.759,103.689,2042,1558,2042,1558,0.432778
45,23.554081810,"503 Service Unavailable",16.623,73.393,105.976,2224,1376,2224,1376,0.382222
46,25.364816447,"503 Service Unavailable",17.746,78.022,118.878,2141,1459,2141,1459,0.405278
47,24.845822103,"503 Service Unavailable",18.439,79.033,145.874,2133,1467,2133,1467,0.407500
48,24.552232678,"503 Service Unavailable",17.321,74.585,126.928,2189,1411,2189,1411,0.391944
49,31.512306385,"503 Service Unavailable",15.837,68.237,98.316,1780,1820,1780,1820,0.505556
50,21.848079162,"503 Service Unavailable",17.723,78.109,139.054,2354,1246,2354,1246,0.346111
51,30.568600674,"503 Service Unavailable",16.479,73.055,107.662,1793,1807,1793,1807,0.501944
52,24.933307345,"503 Service Unavailable",17.313,76.289,118.046,2172,1428,2172,1428,0.396667
53,28.477335151,"503 Service Unavailable",15.784,69.693,104.450,1930,1670,1930,1670,0.463889
54,30.732969882,"503 Service Unavailable",15.693,72.727,99.921,1828,1772,1828,1772,0.492222
55,27.515738708,"503 Service Unavailable",17.107,76.754,112.749,1978,1622,1978,1622,0.450556
56,25.592782466,"503 Service Unavailable",15.993,68.754,100.138,2112,1488,2112,1488,0.413333
57,22.659835805,"503 Service Unavailable",17.229,75.961,125.457,2307,1293,2307,1293,0.359167
58,25.548216771,"503 Service Unavailable",19.414,83.862,168.507,2158,1442,2158,1442,0.400556
59,28.754741828,"503 Service Unavailable",16.901,73.377,106.869,1891,1709,1891,1709,0.474722
60,24.326553811,"503 Service Unavailable",16.589,71.894,107.295,2156,1444,2156,1444,0.401111
61,27.625639317,"503 Service Unavailable",16.907,76.683,113.242,2008,1592,2008,1592,0.442222
62,29.322811261,"503 Service Unavailable",16.965,76.019,118.014,1877,1723,1877,1723,0.478611
63,23.734321784,"503 Service Unavailable",17.633,76.274,121.560,2226,1374,2226,1374,0.381667
64,25.457913076,"503 Service Unavailable",16.407,70.853,104.586,2140,1460,2140,1460,0.405556
65,24.695292453,"503 Service Unavailable",16.815,71.911,116.588,2135,1465,2135,1465,0.406944
66,24.337744696,"503 Service Unavailable",16.542,71.847,104.647,2186,1414,2186,1414,0.392778
67,21.646397466,"503 Service Unavailable",16.022,68.674,111.046,2356,1244,2356,1244,0.345556
68,31.651702333,"503 Service Unavailable",16.363,73.405,108.228,1771,1829,1771,1829,0.508056
69,21.558950717,"503 Service Unavailable",17.722,80.011,145.406,2358,1242,2358,1242,0.345000
70,30.497353164,"503 Service Unavailable",15.315,67.454,98.235,1818,1782,1818,1782,0.495000
71,26.342009207,"503 Service Unavailable",16.816,73.413,119.196,2082,1518,2082,1518,0.421667
72,27.808621325,"503 Service Unavailable",16.983,72.442,103.333,2057,1543,2057,1543,0.428611
73,24.666530623,"503 Service Unavailable",17.649,76.642,128.938,2141,1459,2141,1459,0.405278
74,25.042190864,"503 Service Unavailable",17.238,78.975,138.519,2141,1459,2141,1459,0.405278
75,25.360086050,"503 Service Unavailable",16.998,79.548,104.697,2131,1469,2131,1469,0.408056
76,24.799515391,"503 Service Unavailable",17.949,79.443,147.934,2167,1433,2167,1433,0.398056
77,28.492073383,"503 Service Unavailable",16.362,70.811,103.733,1958,1642,1958,1642,0.456111
78,22.842477979,"503 Service Unavailable",16.956,75.324,118.646,2307,1293,2307,1293,0.359167
79,24.764817696,"503 Service Unavailable",17.370,76.984,128.519,2156,1444,2156,1444,0.401111
80,27.366336244,"503 Service Unavailable",16.266,74.151,106.093,2024,1576,2024,1576,0.437778
81,21.619742628,"503 Service Unavailable",17.441,76.235,127.657,2343,1257,2343,1257,0.349167
82,29.563826592,"503 Service Unavailable",15.010,64.946,107.244,1872,1728,1872,1728,0.480000
83,61.925875915,"503 Service Unavailable",232.737,2163.149,4044.279,1617,1983,1617,1983,0.550833
84,29.992805757,"503 Service Unavailable",17.271,79.203,124.009,1844,1756,1844,1756,0.487778
85,27.583464105,"503 Service Unavailable",16.075,72.366,103.747,1990,1610,1990,1610,0.447222
86,25.955671328,"503 Service Unavailable",18.200,74.902,112.382,2100,1500,2100,1500,0.416667
87,29.559414506,"503 Service Unavailable",16.841,74.398,119.992,1863,1737,1863,1737,0.482500
88,30.552398700,"503 Service Unavailable",16.379,72.667,107.789,1806,1794,1806,1794,0.498333
89,22.622647668,"503 Service Unavailable",17.454,76.802,108.782,2306,1294,2306,1294,0.359444
90,23.574226700,"503 Service Unavailable",19.902,78.777,209.265,2235,1365,2235,1365,0.379167
91,25.715449705,"503 Service Unavailable",17.441,77.189,132.328,2099,1501,2099,1501,0.416944
92,29.501463739,"503 Service Unavailable",18.186,75.995,123.103,2027,1573,2027,1573,0.436944
93,29.432579601,"503 Service Unavailable",131.962,1080.922,2584.865,2016,1584,2016,1584,0.440000
94,23.384254777,"503 Service Unavailable",16.866,73.773,109.292,2233,1367,2233,1367,0.379722
95,26.972756956,"503 Service Unavailable",16.634,72.898,108.552,2067,1533,2067,1533,0.425833
96,25.733685323,"503 Service Unavailable",18.922,81.139,150.429,2092,1508,2092,1508,0.418889
97,28.521637037,"503 Service Unavailable",19.716,83.700,186.051,1955,1645,1955,1645,0.456944
98,22.746927770,"503 Service Unavailable",15.106,63.167,102.167,2268,1332,2268,1332,0.370000
