Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms),Status200,Status503,SuccessCount,ErrorCount,CalculatedErrorRate
1,23.495676591,"503 Service Unavailable",33.008,207.073,436.249,2265,1335,2265,1335,0.370833
2,30.290730191,"503 Service Unavailable",38.357,287.097,453.514,1839,1761,1839,1761,0.489167
3,23.939701386,"503 Service Unavailable",35.345,217.465,442.203,2192,1408,2192,1408,0.391111
4,20.964409433,"503 Service Unavailable",33.394,202.273,426.841,2370,1230,2370,1230,0.341667
5,31.560208288,"503 Service Unavailable",38.955,288.196,460.091,1784,1816,1784,1816,0.504444
6,21.928260529,"503 Service Unavailable",32.678,193.158,430.155,2308,1292,2308,1292,0.358889
7,25.898482729,"503 Service Unavailable",36.359,233.813,436.742,2114,1486,2114,1486,0.412778
8,22.557890102,"503 Service Unavailable",33.350,170.675,446.104,2305,1295,2305,1295,0.359722
9,24.020285099,"503 Service Unavailable",35.959,234.287,432.152,2192,1408,2192,1408,0.391111
10,30.952752843,"503 Service Unavailable",40.524,293.952,444.478,1784,1816,1784,1816,0.504444
11,23.144111554,"503 Service Unavailable",34.267,193.375,439.134,2261,1339,2261,1339,0.371944
12,28.933035995,"503 Service Unavailable",39.499,287.894,441.387,1892,1708,1892,1708,0.474444
13,26.473445705,"503 Service Unavailable",36.736,243.717,462.169,2073,1527,2073,1527,0.424167
14,26.991537165,"503 Service Unavailable",37.335,256.326,449.507,2034,1566,2034,1566,0.435000
15,22.782482878,"503 Service Unavailable",34.506,195.888,421.088,2302,1298,2302,1298,0.360556
16,23.975397119,"503 Service Unavailable",34.875,229.039,434.489,2197,1403,2197,1403,0.389722
17,21.944775224,"503 Service Unavailable",32.704,193.288,426.981,2334,1266,2334,1266,0.351667
18,28.279741270,"503 Service Unavailable",37.325,272.328,435.586,1942,1658,1942,1658,0.460556
19,31.139592878,"503 Service Unavailable",40.351,284.564,455.713,1794,1806,1794,1806,0.501667
20,23.978174269,"503 Service Unavailable",33.945,221.529,444.289,2204,1396,2204,1396,0.387778
21,23.049697825,"503 Service Unavailable",34.720,202.549,440.412,2283,1317,2283,1317,0.365833
