Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms)
1,23.291603665,[],13.101,66.337,69.953
2,30.159544439,[],14.367,98.332,102.503
3,29.031068962,[],10.116,27.552,30.778
4,29.046625048,[],9.235,12.472,17.073
5,29.076525006,[],13.594,82.047,85.321
6,29.036149495,[],9.732,22.822,26.846
7,29.007232160,[],12.033,51.251,54.669
8,29.179890536,[],14.017,79.135,81.801
9,29.074039721,[],13.748,83.770,88.851
10,29.025791534,[],10.802,33.824,36.872
11,29.212932618,[],12.250,46.584,49.279
12,29.454340926,[],10.088,11.367,105.936
13,29.292669252,[],12.734,65.760,68.547
14,28.940677365,[],9.510,18.693,22.329
15,29.520460219,[],11.750,38.006,41.568
16,28.066529693,[],14.364,91.346,94.224
17,30.365525929,[],12.286,43.035,95.562
18,28.989703808,[],13.328,68.582,70.962
19,30.121754282,[],11.351,37.576,41.508
20,29.137526002,[],9.935,21.389,23.702
21,29.093200358,[],12.589,65.128,68.398
22,29.011926497,[],12.127,47.310,50.227
23,33.535639398,[],12.545,23.546,104.736
24,27.108835231,[],12.355,49.845,53.750
25,30.035678840,[],9.254,21.892,26.516
26,29.183173170,[],12.867,74.133,76.740
27,29.289929300,[],13.763,68.879,72.335
28,29.187525741,[],13.020,69.822,72.314
29,30.836098376,[],9.879,23.501,29.044
30,27.502270860,[],12.919,57.089,60.598
31,29.146923761,[],9.058,12.313,19.786
32,29.183773162,[],12.043,73.835,77.252
33,29.048636674,[],9.050,11.450,14.229
34,28.999995210,[],13.217,58.110,61.088
35,29.050437833,[],9.405,11.544,53.915
36,28.978350366,[],14.403,80.368,83.132
37,29.125477964,[],11.414,33.891,36.945
38,29.239593846,[],9.780,19.200,22.954
39,29.216219325,[],11.858,42.635,45.482
40,29.080765673,[],13.177,77.311,80.498
41,28.955043495,[],10.222,11.032,103.011
42,28.956894751,[],12.705,14.914,104.826
43,29.247875754,[],9.268,12.634,15.693
44,29.220292904,[],11.893,38.743,41.834
45,29.073479299,[],13.785,84.620,88.397
46,29.098670662,[],11.856,58.580,61.892
47,29.073537202,[],14.051,84.351,87.837
48,29.063219602,[],13.511,93.928,97.319
49,29.079245488,[],13.997,78.798,81.693
50,29.001242542,[],13.123,57.097,59.850
51,30.090710773,[],14.141,69.030,73.037
52,29.095261066,[],12.703,62.569,64.867
53,29.088076403,[],12.907,69.314,72.063
54,29.083896458,[],14.672,75.381,78.839
55,29.139448301,[],9.013,18.212,21.037
56,29.104653340,[],13.669,55.006,57.244
57,28.965920745,[],15.932,92.793,96.211
58,29.045718060,[],9.198,13.870,17.446
59,29.037085941,[],9.772,22.151,24.934
60,29.136014462,[],10.010,22.628,26.459
61,29.292551393,[],12.776,65.692,69.527
62,28.945633575,[],9.610,14.433,17.673
63,29.312366640,[],11.950,46.431,48.680
64,29.068396312,[],13.832,90.141,93.991
65,28.997060917,[],12.921,61.310,64.026
66,29.079312197,[],13.707,78.831,81.326
67,29.002645330,[],11.991,55.875,58.929
68,29.066533942,[],14.376,91.870,95.832
69,29.002540439,[],12.727,55.635,58.540
70,28.999306385,[],12.814,60.027,62.314
71,29.119185634,[],11.242,39.683,42.598
72,29.132923668,[],10.072,26.082,29.856
73,29.022860726,[],11.099,36.401,38.963
74,29.163627711,[],13.475,93.871,96.530
75,29.063063659,[],14.102,93.218,96.912
76,29.155617279,[],11.278,12.011,104.873
77,28.997382999,[],12.783,60.444,63.193
78,29.056114723,[],12.935,65.168,103.831
79,29.060478130,[],14.051,97.249,100.345
80,28.985420778,[],12.726,73.416,75.710
81,29.192751969,[],13.028,65.882,69.447
82,29.091776791,[],14.012,67.178,70.304
83,29.023669817,[],11.062,35.128,39.247
84,28.944834101,[],9.422,14.829,20.958
85,28.999064981,[],13.360,60.004,63.371
86,29.082846674,[],13.788,75.732,77.947
87,29.059842881,[],14.337,97.491,100.056
88,29.498866587,[],13.155,60.059,61.778
89,29.219637643,[],11.270,38.635,41.854
90,29.069042142,[],14.701,90.538,93.093
91,29.152462720,[],9.562,11.213,83.220
92,29.048185351,[],8.754,11.997,15.718
93,29.139944412,[],9.698,19.823,21.782
94,29.166268263,[],13.754,91.842,95.094
95,29.078013753,[],14.546,81.448,84.897
96,29.108053706,[],12.685,50.561,53.081
97,29.234293205,[],10.251,25.257,27.690
98,29.016868915,[],11.284,41.619,44.142
99,29.158146041,[],13.565,96.450,103.899
100,29.057613810,[],12.711,15.831,103.294
