Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms)
1,29.443195805,[],12.294,69.004,93.378
2,28.368154866,[],12.345,65.712,68.510
3,30.322960192,[],8.879,12.876,17.784
4,29.343550668,[],13.043,90.073,93.371
5,29.169184725,[],12.576,65.351,68.212
6,29.833312359,[],11.631,12.015,102.644
7,29.307642082,[],10.161,27.195,30.351
8,30.388864247,[],12.004,45.779,47.660
9,29.470764469,[],13.132,63.498,68.276
10,29.176281269,[],12.147,57.414,60.154
11,30.164807057,[],13.166,69.049,73.377
12,29.426263231,[],8.587,10.744,15.333
13,29.315454149,[],9.276,19.323,22.005
14,29.190922119,[],10.571,41.954,48.234
15,30.421039636,[],9.009,14.831,21.817
16,29.213068996,[],9.574,21.897,25.264
17,30.238358311,[],12.299,59.332,96.863
18,29.268740120,[],13.220,65.335,71.652
19,30.337641924,[],13.002,85.229,99.390
20,29.160193508,[],11.919,70.932,75.674
21,29.273701652,[],11.411,59.347,63.118
22,29.306924166,[],10.021,28.074,32.086
23,29.366348064,[],14.295,67.914,72.581
24,29.238235815,[],12.016,29.146,97.148
25,29.319551197,[],8.911,15.564,19.257
26,29.224430706,[],8.633,11.434,15.043
27,29.150987996,[],13.781,83.484,87.433
28,30.489278687,[],12.034,45.174,48.108
29,29.194477202,[],11.171,38.949,43.869
30,29.147350114,[],12.683,85.418,89.361
31,29.189772405,[],11.283,44.331,47.388
32,29.277738353,[],12.911,56.862,60.567
33,29.135789611,[],12.688,59.410,101.681
34,27.622795179,[],8.930,12.357,18.746
35,30.563329268,[],12.869,69.847,73.573
36,29.601107142,[],11.029,33.920,37.866
37,29.274691820,[],11.711,58.843,61.594
38,29.403805982,[],10.519,30.444,33.393
39,29.250843454,[],13.252,82.465,87.243
40,30.316791906,[],9.082,17.247,22.285
41,29.514005135,[],9.475,20.700,24.297
42,29.354698834,[],11.819,57.563,82.499
43,29.261793875,[],13.304,72.616,77.433
44,29.316686676,[],8.975,17.462,21.541
45,29.219614768,[],8.871,14.925,17.765
46,29.342132711,[],13.377,90.562,94.711
47,29.274340632,[],13.230,60.443,62.978
48,29.321523506,[],8.891,13.904,19.320
49,29.302846437,[],10.759,31.109,36.677
50,29.191617135,[],10.985,41.912,44.927
51,29.351070479,[],13.248,81.666,86.114
52,29.399348292,[],11.910,35.931,42.565
53,29.258348558,[],13.374,75.792,78.840
54,30.285155030,[],12.367,50.042,52.336
55,30.430884311,[],11.242,12.824,104.535
56,29.198170193,[],10.950,35.957,37.959
57,30.192486957,[],11.871,42.164,45.104
58,29.243411522,[],12.522,81.381,92.879
59,29.344920025,[],13.431,88.522,92.311
60,29.292447928,[],11.187,41.165,42.825
61,29.339801042,[],13.359,93.300,97.755
62,29.241860272,[],13.653,92.136,96.512
63,29.290616576,[],12.441,43.847,47.947
64,29.281695171,[],12.243,51.868,55.760
65,29.187778875,[],11.698,45.501,49.164
66,29.287284205,[],12.797,47.964,51.329
67,29.313534944,[],9.517,21.104,24.209
68,29.272882812,[],12.956,61.751,64.503
69,29.301890564,[],10.291,32.493,36.635
70,29.371329049,[],12.098,62.245,66.173
71,29.279235666,[],13.438,55.580,60.953
72,30.198002714,[],10.924,36.376,38.320
73,29.290526149,[],11.842,43.982,47.754
74,29.382025625,[],13.111,52.362,56.879
75,30.222224254,[],9.100,12.918,18.624
76,29.135328928,[],12.988,88.448,101.491
77,30.196540273,[],11.544,38.035,40.554
78,29.240604720,[],13.400,92.622,96.462
79,30.332619091,[],10.483,10.637,103.120
80,29.181369564,[],12.428,53.270,56.536
81,29.161665471,[],13.541,72.627,75.148
82,30.205452527,[],10.733,29.987,33.119
83,29.202250251,[],11.544,32.860,36.115
84,30.219460468,[],8.616,15.069,18.663
85,29.256112098,[],12.524,76.055,81.800
86,30.304890243,[],10.844,30.276,32.491
87,29.454461192,[],14.035,79.552,82.738
88,29.123969789,[],8.454,11.353,14.630
89,30.128561862,[],8.792,10.539,17.573
90,29.483005189,[],11.920,51.203,53.514
91,29.237673436,[],14.202,95.836,98.351
92,30.250192462,[],12.205,75.815,86.739
93,29.312307424,[],9.697,21.904,24.907
94,29.249932795,[],13.335,83.555,87.699
95,29.178638948,[],13.454,55.736,60.940
96,30.218431619,[],8.750,16.298,19.104
97,29.298911851,[],11.157,35.369,38.755
98,29.325674406,[],8.588,10.931,16.397
99,29.293066175,[],11.694,41.726,45.334
100,29.172122162,[],13.014,62.764,65.979
