Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
1,0.8148148148148148,18.442,27.980,"200:176 503:40",160447,742.8101851851852
2,1,5.040,10.637,"200:8",7748,968.5
1,0.8911111111111111,10.614,43.458,"200:1604 503:196",1430970,794.9833333333333
2,0.8772222222222222,11.861,44.669,"200:1579 503:221",1414209,785.6716666666666
3,0.8977777777777778,10.336,41.903,"200:1616 503:184",1438865,799.3694444444444
4,0.8961111111111111,11.441,42.144,"200:1613 503:187",1436751,798.195
5,0.9144444444444444,12.118,42.453,"200:1646 503:154",1460876,811.5977777777778
6,0.8738888888888889,10.018,44.586,"200:1573 503:227",1409250,782.9166666666666
7,0.8988888888888888,11.157,41.753,"200:1618 503:182",1440641,800.3561111111111
8,0.9222222222222223,13.714,41.505,"200:1660 503:140",1471871,817.7061111111111
9,0.91,11.047,42.009,"200:1638 503:162",1455623,808.6794444444445
10,0.9,10.788,43.677,"200:1620 503:180",1442597,801.4427777777778
11,0.9155555555555556,11.900,42.290,"200:1648 503:152",1461894,812.1633333333333
12,0.8988888888888888,9.962,41.993,"200:1618 503:182",1440133,800.0738888888889
13,0.8933333333333333,13.013,43.511,"200:1608 503:192",1434127,796.7372222222223
14,0.9005555555555556,11.022,41.920,"200:1621 503:179",1443205,801.7805555555556
15,0.8833333333333333,11.318,44.483,"200:1590 503:210",1422365,790.2027777777778
16,0.9011111111111111,11.297,41.767,"200:1622 503:178",1442745,801.525
17,0.8961111111111111,11.617,41.807,"200:1613 503:187",1437450,798.5833333333334
18,0.8966666666666666,11.929,42.967,"200:1614 503:186",1438340,799.0777777777778
19,0.8961111111111111,10.196,41.173,"200:1613 503:187",1437915,798.8416666666667
20,0.885,10.811,42.558,"200:1593 503:207",1423663,790.9238888888889
21,0.8827777777777778,11.840,42.443,"200:1589 503:211",1419693,788.7183333333334
22,0.9038888888888889,10.803,40.686,"200:1627 503:173",1448689,804.8272222222222
23,0.9033333333333333,11.571,48.261,"200:1626 503:174",1444934,802.7411111111111
24,0.8772222222222222,9.841,42.950,"200:1579 503:221",1414034,785.5744444444445
25,0.875,10.357,43.908,"200:1575 503:225",1410554,783.6411111111111
26,0.8927777777777778,11.599,42.917,"200:1607 503:193",1432708,795.9488888888889
27,0.9016666666666666,12.317,40.138,"200:1623 503:177",1445078,802.8211111111111
28,0.9011111111111111,10.559,42.795,"200:1622 503:178",1443950,802.1944444444445
29,0.8983333333333333,11.838,43.329,"200:1617 503:183",1440072,800.04
30,0.9116666666666666,12.541,41.877,"200:1641 503:159",1457256,809.5866666666667
31,0.8972222222222223,10.076,42.698,"200:1615 503:185",1439023,799.4572222222222
32,0.8883333333333333,9.835,41.470,"200:1599 503:201",1428426,793.57
33,0.8777777777777778,10.673,44.760,"200:1580 503:220",1413098,785.0544444444445
34,0.8861111111111111,11.200,44.402,"200:1595 503:205",1425247,791.8038888888889
35,0.8861111111111111,11.462,43.381,"200:1595 503:205",1424365,791.3138888888889
36,0.8844444444444445,10.089,43.092,"200:1592 503:208",1423235,790.6861111111111
37,0.8755555555555555,13.125,45.176,"200:1576 503:224",1411903,784.3905555555556
38,0.9261111111111111,11.085,40.403,"200:1667 503:133",1474599,819.2216666666667
39,0.9027777777777778,10.833,43.252,"200:1625 503:175",1447154,803.9744444444444
40,0.89,10.744,42.547,"200:1602 503:198",1429643,794.2461111111111
41,0.8805555555555555,11.917,45.233,"200:1585 503:215",1417735,787.6305555555556
42,0.89,13.037,44.508,"200:1602 503:198",1429193,793.9961111111111
43,0.8822222222222222,12.534,43.338,"200:1588 503:212",1419892,788.8288888888889
44,0.895,9.985,40.844,"200:1611 503:189",1435645,797.5805555555555
45,0.8883333333333333,10.682,44.577,"200:1599 503:201",1427914,793.2855555555556
46,0.8833333333333333,14.082,44.080,"200:1590 503:210",1420682,789.2677777777777
47,0.9138888888888889,10.167,39.168,"200:1645 503:155",1460152,811.1955555555555
48,0.9133333333333333,9.866,38.662,"200:1644 503:156",1459251,810.695
49,0.8961111111111111,12.705,43.168,"200:1613 503:187",1437893,798.8294444444444
50,0.8888888888888888,11.035,45.666,"200:1600 503:200",1428702,793.7233333333334
