Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
1,0.465,8.293,57.856,"200:837 503:963",887903,493.27944444444444
2,0.47333333333333333,8.246,55.816,"200:852 503:948",897893,498.82944444444445
3,0.4772222222222222,8.423,57.805,"200:859 503:941",903704,502.0577777777778
4,0.46,8.408,58.552,"200:828 503:972",881654,489.8077777777778
5,0.495,8.605,57.619,"200:891 503:909",924960,513.8666666666667
6,0.4711111111111111,8.551,58.591,"200:848 503:952",895065,497.2583333333333
7,0.46111111111111114,8.427,56.955,"200:830 503:970",883324,490.73555555555555
8,0.4444444444444444,8.355,59.669,"200:800 503:1000",861973,478.87388888888887
9,0.48777777777777775,8.542,57.964,"200:878 503:922",915851,508.80611111111114
10,0.485,8.272,56.929,"200:873 503:927",913562,507.53444444444443
11,0.4822222222222222,8.616,57.340,"200:868 503:932",908743,504.8572222222222
12,0.47,8.334,56.528,"200:846 503:954",894950,497.19444444444446
13,0.4638888888888889,8.531,58.789,"200:835 503:965",884926,491.62555555555554
14,0.45555555555555555,8.421,57.615,"200:820 503:980",875149,486.19388888888886
15,0.5033333333333333,8.731,57.901,"200:906 503:894",937225,520.6805555555555
16,0.4766666666666667,8.441,57.007,"200:858 503:942",902782,501.54555555555555
17,0.4672222222222222,8.385,59.317,"200:841 503:959",890088,494.49333333333334
18,0.47055555555555556,8.458,57.357,"200:847 503:953",895064,497.2577777777778
19,0.48444444444444446,8.288,58.273,"200:872 503:928",911518,506.3988888888889
20,0.495,8.547,57.772,"200:891 503:909",925349,514.0827777777778
21,0.46166666666666667,8.663,59.083,"200:831 503:969",884573,491.42944444444447
22,0.4488888888888889,8.447,58.536,"200:808 503:992",866731,481.51722222222224
23,0.47055555555555556,8.416,57.778,"200:847 503:953",893801,496.55611111111114
24,0.4438888888888889,8.569,57.632,"200:799 503:1001",861300,478.5
25,0.4905555555555556,8.545,58.487,"200:883 503:917",919630,510.90555555555557
26,0.4777777777777778,8.420,56.916,"200:860 503:940",904712,502.6177777777778
27,0.44222222222222224,8.205,57.112,"200:796 503:1004",858372,476.87333333333333
28,0.4494444444444444,8.231,57.115,"200:809 503:991",867187,481.7705555555556
29,0.43444444444444447,8.349,58.907,"200:782 503:1018",848713,471.5072222222222
30,0.4444444444444444,8.307,58.118,"200:800 503:1000",861957,478.865
31,0.4761111111111111,8.481,56.768,"200:857 503:943",900019,500.0105555555556
32,0.44333333333333336,8.414,58.185,"200:798 503:1002",860029,477.7938888888889
33,0.4577777777777778,8.502,58.226,"200:824 503:976",878828,488.23777777777775
34,0.47833333333333333,8.472,58.204,"200:861 503:939",904147,502.3038888888889
35,0.46166666666666667,8.514,58.326,"200:831 503:969",883929,491.07166666666666
36,0.4866666666666667,8.443,57.024,"200:876 503:924",914771,508.2061111111111
37,0.45666666666666667,8.382,58.709,"200:822 503:978",877696,487.6088888888889
38,0.4855555555555556,8.645,56.609,"200:874 503:926",913681,507.60055555555556
39,0.47333333333333333,8.200,56.786,"200:852 503:948",898563,499.20166666666665
40,0.4672222222222222,8.507,57.943,"200:841 503:959",890146,494.52555555555557
41,0.4683333333333333,8.580,57.112,"200:843 503:957",891558,495.31
42,0.4861111111111111,8.555,56.869,"200:875 503:925",914452,508.0288888888889
43,0.46166666666666667,8.283,56.916,"200:831 503:969",882525,490.2916666666667
44,0.4661111111111111,8.460,58.484,"200:839 503:961",889105,493.9472222222222
45,0.45111111111111113,8.389,59.006,"200:812 503:988",870620,483.6777777777778
46,0.4727777777777778,8.467,56.369,"200:851 503:949",896221,497.90055555555557
47,0.46555555555555556,8.306,58.641,"200:838 503:962",888179,493.4327777777778
48,0.48388888888888887,8.527,58.215,"200:871 503:929",912422,506.9011111111111
49,0.4461111111111111,8.421,59.055,"200:803 503:997",863685,479.825
50,0.45944444444444443,8.374,57.636,"200:827 503:973",880690,489.27222222222224
