Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
1,0.5033333333333333,7.484,16.496,"200:1812 503:1788",1871771,519.9363888888889
2,0.49527777777777776,7.469,14.854,"200:1783 503:1817",1850433,514.0091666666667
3,0.4922222222222222,7.448,14.392,"200:1772 503:1828",1843773,512.1591666666667
4,0.4886111111111111,7.525,15.428,"200:1759 503:1841",1833309,509.2525
5,0.5136111111111111,7.447,13.568,"200:1849 503:1751",1897554,527.0983333333334
6,0.48277777777777775,7.488,15.541,"200:1738 503:1862",1820372,505.6588888888889
7,0.5038888888888889,7.495,16.096,"200:1814 503:1786",1872950,520.2638888888889
8,0.5008333333333334,7.453,15.024,"200:1803 503:1797",1863828,517.73
9,0.5013888888888889,7.519,15.753,"200:1805 503:1795",1867032,518.62
10,0.5022222222222222,7.498,15.498,"200:1808 503:1792",1868060,518.9055555555556
11,0.5116666666666667,7.482,14.138,"200:1842 503:1758",1893904,526.0844444444444
12,0.4975,7.418,13.794,"200:1791 503:1809",1855544,515.4288888888889
13,0.49666666666666665,7.481,15.850,"200:1788 503:1812",1854867,515.2408333333333
14,0.495,7.540,15.743,"200:1782 503:1818",1849952,513.8755555555556
15,0.49694444444444447,7.494,16.506,"200:1789 503:1811",1855398,515.3883333333333
16,0.5016666666666667,7.524,15.705,"200:1806 503:1794",1868721,519.0891666666666
17,0.5016666666666667,7.468,14.449,"200:1806 503:1794",1866396,518.4433333333334
18,0.48583333333333334,7.448,14.925,"200:1749 503:1851",1826587,507.3852777777778
19,0.5055555555555555,7.502,15.210,"200:1820 503:1780",1877131,521.4252777777778
20,0.4772222222222222,7.448,14.458,"200:1718 503:1882",1805523,501.5341666666667
21,0.48083333333333333,7.492,14.100,"200:1731 503:1869",1814013,503.8925
22,0.505,7.489,14.970,"200:1818 503:1782",1875638,521.0105555555556
23,0.49166666666666664,7.525,16.162,"200:1770 503:1830",1841693,511.5813888888889
24,0.4822222222222222,7.480,14.754,"200:1736 503:1864",1817003,504.72305555555556
25,0.4872222222222222,7.474,13.888,"200:1754 503:1846",1830263,508.4063888888889
26,0.4930555555555556,7.491,14.469,"200:1775 503:1825",1846076,512.7988888888889
27,0.49277777777777776,7.466,15.893,"200:1774 503:1826",1845007,512.5019444444445
28,0.5041666666666667,7.491,15.541,"200:1815 503:1785",1873058,520.2938888888889
29,0.48444444444444446,7.487,16.496,"200:1744 503:1856",1822751,506.3197222222222
30,0.49777777777777776,7.411,15.138,"200:1792 503:1808",1858000,516.1111111111111
31,0.49694444444444447,7.434,13.936,"200:1789 503:1811",1855631,515.4530555555556
32,0.49472222222222223,7.519,16.194,"200:1781 503:1819",1849115,513.6430555555555
33,0.5083333333333333,7.499,15.279,"200:1830 503:1770",1884818,523.5605555555555
34,0.49666666666666665,7.516,15.679,"200:1788 503:1812",1854720,515.2
35,0.4875,7.510,16.306,"200:1755 503:1845",1830504,508.47333333333336
36,0.48777777777777775,7.477,14.912,"200:1756 503:1844",1831113,508.6425
37,0.4986111111111111,7.471,14.852,"200:1795 503:1805",1859956,516.6544444444445
38,0.4791666666666667,7.519,14.616,"200:1725 503:1875",1809902,502.75055555555554
39,0.49194444444444446,7.475,14.931,"200:1771 503:1829",1841555,511.54305555555555
40,0.4986111111111111,7.495,14.641,"200:1795 503:1805",1860547,516.8186111111111
41,0.5019444444444444,7.525,15.361,"200:1807 503:1793",1867179,518.6608333333334
42,0.4841666666666667,7.509,15.270,"200:1743 503:1857",1822913,506.3647222222222
