Iteration,Timestamp,Namespace,Service,Timeout(s),Delay(s),Rate,Duration,Total,SuccessRatio(%),SuccessCount,Errors,TimeoutHits,TimeoutHitRate(%),TimeoutAccuracyMean(ms),TimeoutAccuracyP95(ms),WastedTimeMean(ms),WastedTimeP95(ms),P95_200(ms),P99_200(ms)
1,20250825_234743,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,263.338338,338.595253
2,20250825_234853,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,255.073668,291.380417
3,20250825_234955,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,251.813641,289.456144
4,20250825_235056,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,245.990969,281.262537
5,20250825_235158,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,251.849479,298.522339
6,20250825_235259,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,255.580437,299.350511
7,20250825_235401,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,252.972871,288.930018
8,20250825_235502,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,244.770264,287.464694
9,20250825_235604,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,255.03732,299.834889
10,20250825_235705,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,253.154936,291.58558
11,20250825_235807,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,249.108791,284.602184
12,20250825_235908,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,254.257726,303.541313
13,20250826_000011,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,243.260443,284.199243
14,20250826_000114,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,255.843378,312.874547
